uf,ano,cobertura,vacina
Brasil,2013,107.42,BCG
Brasil,2014,107.28,BCG
Brasil,2015,105.08,BCG
Brasil,2016,95.55,BCG
Brasil,2017,97.98,BCG
Brasil,2018,99.72,BCG
Brasil,2019,86.67,BCG
Brasil,2020,77.14,BCG
Brasil,2021,74.97,BCG
Brasil,2022,90.09,BCG
Brasil,2013,100.71,Poliomielite
Brasil,2014,96.76,Poliomielite
Brasil,2015,98.29,Poliomielite
Brasil,2016,84.43,Poliomielite
Brasil,2017,84.74,Poliomielite
Brasil,2018,89.54,Poliomielite
Brasil,2019,84.19,Poliomielite
Brasil,2020,76.79,Poliomielite
Brasil,2021,71.04,Poliomielite
Brasil,2022,77.2,Poliomielite
Brasil,2013,34.19,Tríplice viral
Brasil,2014,90.19,Tríplice viral
Brasil,2015,77.37,Tríplice viral
Brasil,2016,79.04,Tríplice viral
Brasil,2017,35.44,Tríplice viral
Brasil,2018,33.26,Tríplice viral
Brasil,2019,34.24,Tríplice viral
Brasil,2020,21.01,Tríplice viral
Brasil,2021,6.27,Tríplice viral
Brasil,2022,10.43,Tríplice viral
Brasil,2013,97.85,Pentavalente
Brasil,2014,95.48,Pentavalente
Brasil,2015,96.9,Pentavalente
Brasil,2016,89.53,Pentavalente
Brasil,2017,84.45,Pentavalente
Brasil,2018,88.7,Pentavalente
Brasil,2019,70.94,Pentavalente
Brasil,2020,77.99,Pentavalente
Brasil,2021,71.59,Pentavalente
Brasil,2022,77.25,Pentavalente
