codigo_uf,uf,ano,cobertura,vacina
11,Rondônia,2013,108.15,BCG
12,Acre,2013,106.16,BCG
13,Amazonas,2013,116.92,BCG
14,Roraima,2013,94.17,BCG
15,Pará,2013,117.68,BCG
16,Amapá,2013,117.07,BCG
17,Tocantins,2013,92.02,BCG
21,Maranhão,2013,113.39,BCG
22,Piauí,2013,96.5,BCG
23,Ceará,2013,108.63,BCG
24,Rio Grande do Norte,2013,109.15,BCG
25,Paraíba,2013,112.35,BCG
26,Pernambuco,2013,105.68,BCG
27,Alagoas,2013,112.47,BCG
28,Sergipe,2013,96.61,BCG
29,Bahia,2013,101.39,BCG
31,Minas Gerais,2013,104.06,BCG
32,Espírito Santo,2013,104.68,BCG
33,Rio de Janeiro,2013,106.95,BCG
35,São Paulo,2013,103.65,BCG
41,Paraná,2013,110.0,BCG
42,Santa Catarina,2013,102.22,BCG
43,Rio Grande do Sul,2013,110.88,BCG
50,Mato Grosso do Sul,2013,113.25,BCG
51,Mato Grosso,2013,106.72,BCG
52,Goiás,2013,116.43,BCG
53,Distrito Federal,2013,133.19,BCG
11,Rondônia,2014,110.07,BCG
12,Acre,2014,104.59,BCG
13,Amazonas,2014,120.39,BCG
14,Roraima,2014,103.97,BCG
15,Pará,2014,114.8,BCG
16,Amapá,2014,118.8,BCG
17,Tocantins,2014,103.0,BCG
21,Maranhão,2014,108.16,BCG
22,Piauí,2014,96.5,BCG
23,Ceará,2014,107.4,BCG
24,Rio Grande do Norte,2014,108.15,BCG
25,Paraíba,2014,111.91,BCG
26,Pernambuco,2014,108.55,BCG
27,Alagoas,2014,108.03,BCG
28,Sergipe,2014,99.77,BCG
29,Bahia,2014,101.28,BCG
31,Minas Gerais,2014,100.85,BCG
32,Espírito Santo,2014,105.52,BCG
33,Rio de Janeiro,2014,113.3,BCG
35,São Paulo,2014,103.46,BCG
41,Paraná,2014,107.97,BCG
42,Santa Catarina,2014,107.93,BCG
43,Rio Grande do Sul,2014,105.1,BCG
50,Mato Grosso do Sul,2014,129.71,BCG
51,Mato Grosso,2014,111.78,BCG
52,Goiás,2014,115.49,BCG
53,Distrito Federal,2014,113.52,BCG
11,Rondônia,2015,110.77,BCG
12,Acre,2015,105.9,BCG
13,Amazonas,2015,110.79,BCG
14,Roraima,2015,110.55,BCG
15,Pará,2015,94.87,BCG
16,Amapá,2015,121.56,BCG
17,Tocantins,2015,107.48,BCG
21,Maranhão,2015,103.64,BCG
22,Piauí,2015,86.27,BCG
23,Ceará,2015,114.62,BCG
24,Rio Grande do Norte,2015,105.9,BCG
25,Paraíba,2015,105.73,BCG
